,0
187,"Hope Bollywood realises that films don't necessarily need love fantasies and romantic songs  .... It is the content without insulting the culture, that matters to audience.. hope this movie will meet it's expectations. Jai Shree Ram️"
188,"One of The Best Trailer Of Bollywood,,200s ka Akshay Kumar is Back.."
189,"One of The Best Trailer Of Bollywood,,200s ka Akshay Kumar is Back.."
190,"One of The Best Trailer Of Bollywood,,200s ka Akshay Kumar is Back.."
191,"One of The Best Trailer Of Bollywood,,200s ka Akshay Kumar is Back.."
192,"One of The Best Trailer Of Bollywood,,200s ka Akshay Kumar is Back.."
193,"One of The Best Trailer Of Bollywood,,200s ka Akshay Kumar is Back.."
194,"One of The Best Trailer Of Bollywood,,200s ka Akshay Kumar is Back.."
195,"One of The Best Trailer Of Bollywood,,200s ka Akshay Kumar is Back.."
196,"One of The Best Trailer Of Bollywood,,200s ka Akshay Kumar is Back.."
197,"One of The Best Trailer Of Bollywood,,200s ka Akshay Kumar is Back.."
198,"Hope Bollywood realises that films don't necessarily need love fantasies and romantic songs  .... It is the content without insulting the culture, that matters to audience.. hope this movie will meet it's expectations."
199,"Hope Bollywood realises that films don't necessarily need love fantasies and romantic songs  .... It is the content without insulting the culture, that matters to audience.. hope this movie will meet it's expectations. Jai Shree Ram"
200,Goosebumps 
201,Whaooo our Akshay is back 
202,"Abhishek bhaiya is my jijaji's brother......
We were knowing about this film from the very starting.....proud to see this work"
203,Stunning visuals.. Ab bas story aur execution sahi ho..
204,"Finally something new ️

Hope audience will love Akshay Kumar in this"
205,"Finally I think very big blockbuster....
Advance congrats ️"
206,Ram setu a pride of India ️
207,Level up khiladiAK
208,Jai Sriram.. a great attempt by bollywood to show the truth to people.. more pictures like this need to come..
209,Great movie ️
210,"Goosebumps every moment.
Great BGM
great dialogues
Kudos to the team of Ram Setu 
Jai Shree Ram ️"
211,I am so excited 
212,Another level work by Bollywood
213,"Khiladi is back aab Maza ayyenga na bhidu 
Jay Shree ram"
214,"Good decision to release on diwali now I can surely watch ramsetu, hope it will be next blockbuster"
215,Love you akshay kumar sir ️️
216,"बेसब्री से इंतजार है इस फिल्म का 
ब्लॉकबस्टर होगी #राम_सेतु फिल्म"
217,This Diwali I'll go in Theatre with family to experience this
218,"Great work , action, mystery, history, devotional, politics and shri RAM ️"
219,This movie will be blockbuster 
220,"akshay is not simply acting,he is just living in that character"
221,Super hit ️
222,"It's not just a setu....It is a live evidence of Ram''s unconditional love towards his Sita, devotion of Hanuman and whole Vanarasena towards Ram & Sita and that when fight is for good over evil even universe join the forces."
223,That Sound Of JAI SHREE RAM 
224,one of the best thing about dude is that he never credit for himself when he achives something he always respect us the audience and his team and he is polite in all his videos....we congrats ourselves on his achievements more to come.
225,Prabhu shree ram chandra ji ki jai ho ️
226,"Ek hi baat Dil se Nikal Rahi hai ""Jai Shree Ram"" ️"
227,"Jai Shree Ram, Dil khus ho gya trailer dekh kar, ye movie jarur dekhenge "
228,This movie is going to be a hit for sure.Akshay sir's acting is looking so natural
229,Awesome work.... I hope the movie will be also good like trailer.. Jai shree ram
230,Can’t wait 
231,Satya dev fans 
232,This trailer give me goosebumps
233,Proud to be hindu 
234,"What a Mind-blowing Trailer 
SURESHOT BLOCKBUSTER "
235,Waiting 
236,Great Story ! Great Writing ️
237,After long time a masterpiece
238,Really exciting to see this  it is so interesting 
239,Is Diwali Ram Setu ️️
240,"Ram Ram Music blockbuster
This Diwali #Ramsetu will fire  on box office."
241,Love It ️
242,"After a long time, there comes a movie that excites me."
243,Scientist Akshay Kumar is back  with new movie ram setu
244,Trailer is so promising 
245,"Bhagwan kare movie bhi itni hee achi ho
If bollywood really wants to do comeback"
246,THIS IS MORE THAN WHAT WE EXPECTED 
247,Wonderful trailer 
248,Akshay Kumar won’t ever lose his track record of releasing a film every 3-4 months 
249,Akshay sir 
250,"now our akki is back  
Jai shree ram ️"
251,"this movie will be blockbuster
jai shree ram"
252,National award Winning film 
253,Masterpiece of akkii️️
254,This is the 2nd best movie which will shown our culture after rrr.
255,After looking at adhi purush trailer I lost my hopes ..but now this is promising hope it live up to its name with good storyline
256,This movie will create history for sure  keep  it team
257,Will be a bigger hit than  Bacchan Pandey 
258,"Bollywood Always Disappointed Us But This Trailer Never Disappointed Us. Nice VFX, Nice Creative Choice, Fresh Script, I Want To Give This Trailer 4.5/5. & You? "
259,The Content Akshay Kumar deserve...️
260,"After a long time, there comes a movie that excites me."
261,Excellent Akshay sir ! Jai shree ram 
262,This is something we want from Akshay Kumar 
263,Jis Desh me 1 saal purani sadak bhi Gaddhe me khoo jaati hai
264,"Akshay Sir is absolutely unstoppable!!
What a trailer "
265,89.5% of the comments. he never fails to entertaing us ️
266,JAI SHREE RAM ️
267,Bollywood aesi movies bnaye toh unka kya jata hai....boht achi story hai...keep it up guys 
268,Amazing man.... Very heart touching ️
269,Blockbuster movie Jay shree Ram 
270,RAMSETU is not just A Movie It's our EVERYTHING 
271,"Seems awesome content ,  curiously waiting.. Jai shree ram"
272,Intresting trailer and akshay sir look  and bgm too good 
273,Jai Shree Ram Ji ️
274,"Amazing
Jai Siya-Ram️"
275,Outstanding ️️️
276,Fact : 0:57 Goosebumps starts here . And peaked to next level here 1:45 
277,Looks Adventurous 
278,Goosebumps 
279,Trailers is awesome ab movie ka intazar hai movie bhi trailer jaisi honi chahiye without kisi ka apman kiye 
280,Can't Wait 
281,1:29 iyer bhai'cameo as gunman
282,"रामायण से राम मिले
गीता से ज्ञान मिले
धर्म से हिंदू ️
और शौभाग्य से हिंदुस्तान "
283,Awesome subject ... This film going to hit box-office like Tsunami... BGM 
284,Atleast now Bollywood is starting to respect our gods that is really great
285,Bollywood is making it's comeback I hope for the best..
286,This is gonna be masterpiece ️
287,राम भक्तो गर्व से बोलो जय् श्री राम 
288,0:47 Goosebump start from here 
289,"Blockbuster ️ Ramsetu , huge congratulations whole entire teams & best wishes ️"
290,Ram.. Ram..Ram...Ram !! Bgm is fire  !! जय श्री राम ️
291,"We all should promote, laborious Self made Actor  Akshay Kumar because he  is really Hard Working Actor and Real Talent of This actor Should be respected...Ram...Ram...Jai Shree Ram🇮🇳🇮🇳🇮🇳🇮🇳"
292,Bgm is so good 
293,"2022  ""KANTARA"" and ""RAMSETU"" blockbuster FILM "
294,Akshay bhaiya has come a Long we way all are so proud of him  100% Singing. 100% Acting. 100% Dancing. 100% Music. 100% Lyrics. 100% Culture. 1000% Least....! Amazing!! 
295,I really like these kind of mystery adventurous movies . Reminds of karthikeya 2 and maayon Tamil movie. Fantasy+ Hinduism. Definitely going to watch. 
296,"Exactly the story of Disney's Atlantis, plus the look!"
297,blockbuster ️️
298,love the trailer this is going to be a blockbuster
299,Bhagwan kare kuch naya sikhne ko mile....JAY SHREE RAM 
300,"Akshay Kumar is back finally,his most awaited film for me after Sooryavanshi"
301,"One of the best thing about dude is that he never takes credit for himself when he archives something He always respect us, the audience and his team and he is polite in all his videos We congratulate ourselves on this achievement More to come.."
302,This is really appreciable ️️
303,Jai shriii ram....Proud to be from AYODHYA......
304,"️""One  of ️ the  best  thing  about ️ dude  is  that  he  never  takes  credit  for ️ himself  when  he  achieves ️ something . He  always  respect  us , the  audience  and ️ his  team , and  he ️ is  polite  in  all  his  videos . We  congratulate ️ ourselves  on  this  achievement ️. More  to  come ️️️"
305,"Akshay sir back our with real acting 

Sir awessowme trailer 

Jay shreee ram"
306,"Totally goosebumps 
जय श्री राम"
307,Ye masterpiece hai
308,That Ram Ram BGM is just giving chills..
309,chandni chowk to china part two when will be released #akshaykumar sir' big fan Nepal 🇳🇵🇳🇵🇳🇵
310,"Very happy satya Dev 
Is growing very well.
Jai shri ram."
311,जय श्री राम ️️
312,दुनिया में लाखो मन्दिर है पर राम सेतु सिर्फ एक ️️️️
313,Great to see a wonderful movie on our history....
314,trailer looks so promising. hope movie will also good. not Much expectations from Akshay Kumar. but topic of movie will convince the audience
315,Can't wait for this moive jaldi realise kro yrr
316,"Ram...Ram...Ram... Is no BGM, it's goosebump."
317,Ye bollywood bahut achhi hai friends please don't boycott it
318,After this my respect 1000%increases to akshay kumar jai shree ram 
319,After so many years...Akshay did Master Stroke movie...Blockbuster movie ever...This movie will be the block buster movie ever...
320,Goosebumps..
321,Akshay knows very well what to make he knows the assignment  ( Bollywood politics)
322,"That BGM from 0:48-0:54

Fantastic"
323,
324,As a South Indian I need this film to be blockbuster of Akshay sir
325,"After such along time, this is looking good adventurous movie.  eagerly waiting for Ram Setu. Jai Shree Raam"
326,Its unique different concept amazing 
327,Please promote this trailer guys
328,Thank you Akshay sir..for coming back with this
329,
330,"Wow  what a trailer, pure Goosebumps ️️"
331,"️""One  of ️ the  best  thing  about ️ dude  is  that  he  never  takes  credit  for ️ himself  when  he  achieves ️ something . He  always  respect  us , the  audience  and ️ his  team , and  he ️ is  polite  in  all  his  videos . We  congratulate ️ ourselves  on  this  achievement ️. More  to  come ️️"
332,I'm very excited to see!  Love u Akshay  Paaji.️
333,Super duper hit  jai shree Ram Jai bajrangbali ki 
334,It feels like Kartikeya 2 with a different God and place and Akshay sporting Robert Langdon style hair. Let’s hope it’s as interesting as it looks
335,JAI SHREE RAM
336,"1:15 Full Goosebumps 

I'm Going To Watch This Movie On First Day Of Releasing "
337,"Nowadays people like movies more of adventure,thrill,vfx,content,and multiple casts 
This may be a blockbuster"
338,"Hope Bollywood realises that films don't necessarily need love fantasies and romantic songs  .... It is the content without insulting the culture, that matters to audience.. hope this movie will meet it's expectations. Jai Shree Ram 
 
2.2K"
339,"Koi To Hai Jo Sanskriti Bacha Raha Hai..Full Support
Jai Shree Ram "
340,I'm muslim but this music give goosebumps️ Blockbuster coming️️
341,"Awesome I am very happy 
Finally akshay is back"
342,This is what we want from Akshay and Indian film industry
343,Just wow ️
344,"What a Mind-blowing Trailer 
SURESHOT BLOCKBUSTER"
345,"Jay shri ram 
राम सेतु 🇮🇳
सभी देशवासी को जय श्री राम "
346,"""On the best thing about dude is the whenever he achieves something, he never gives the credit to himself. He always respect us, the audience the most and his team too every of his video .we congrats ourselves for this achievement. More to come and everything to come."""
347,This is the called real King of Bollywood Akshay 
348,1:27 this scene 
349,Mind-blowing Trailer 
350,"The true definition of Love is not “TAJMAHAL"" made for MUMMTAJ , The true definition is only #RAMSETU made for SIYA MATA
 #Jay_Siyaram
Mere prabhu ram jai Siyaram"
351,गर्व से कहो हम हिंदू है 
352,Jai Jai Shree RAAM ️️️
353,Blockbuster Written.. Duniya Me Shri Ram Ji ke Lakho Mandir Hai Bt Ramsetu Sirf Ek..
354,"Finally akshay gave a movie which his fans can enjoy in theaters 
Ram ram background music was so nice gave goosebumps"
355,Goosebump 
356,जय श्री राम ️
357,"श्री राम का इतिहास पुरी दुनिया को जानना चाहिए वह किसी भी धर्म के नही बस उनका अपना धर्म था,, 
जय श्री राम"
358,Background music is just wow .... amazing ️️
359,दुनिया में श्रीराम के लाखों मंदिर  है लेकिन सेतु केवल एक है रामसेतु ️️️
360,1:13 GOOSEBUMPS  ALERT
361,️️
362,Amazing 
363,I hope Akshay Kumar regain his respect
364,Finally a hit coming from Bollywood
365,"Duniya me shri ram ji ke lakho mandir hai par ram setu sirf ek ..
This line touched my heart "
366,"राम नाम का महत्व न जाने 
वह विद्वान अभागा है 
जिसके दिल में राम बसे है 
वह परम सौभागा है! 
जय श्री राम "
367,Big salute to aksay sir for his hardwork.🇮🇳
368,"All the best to Satya Dev Anna, A finest actor from Tollywood, Hope u will get National level recognition  with ur outstanding performance"
369,It is most legendary trailer ever
370,Amazing
371,"Super duper blockbuster movie.full support 
Jai jai shree ram ji"
372,This is real Bollywood.... Not that stupid remakes literally Goosebumps  ... Akki You nailed it
373,AKSHAY SIR WE ASPECT EVEN THE BLASTER THIS YEAR
374,This is one of the most epic movie of akshay 
375,ab hui na baat ️️️️️️️️️
376,"Congratulations and gudluck 
@SATYA DEV     broooo , 
u are very hardworking person ..!!"
377,Jai shree Ram ️️️
378,1:39 gives me goosebumps 
379,something exciting is coming on this diwali eagerly waiting
380,"Looks promising,I am very excited"
381,finally Jaquelin gets a chance to visit his home country 
382,The perfect sangham of ram yug + new yug 
383,
384,King Of Content Akshay Kumar is back with blockbuster content again..Mark the Words This will among his great movies till date.
385,Only ram ji can restore bollywood. 
386,First time I'm really liked a trailer... Wanna try it first time in PVR.. Big screen.. Thanks Akshay Kumar.. Jai Shree Ram
387,"Bolo Jai Shree ram
Bollywood ka humesha se ek he sher raha hai aur rahega #Akshay #Kumar  love u Bohot chhota sa word hai Akshay sir apke liye, usse kahin zyada ho aap humare liye. Childhood se sirf aapka fan hun aur rahunga. #YeDiwaliRamSetuWali"
388,unbelievable trailer unbelievable
389,I hope this one hit. Hare Krishna ️
390,"only one thing i wanted to say is ""GOOSEBUMPS "" "
391,That bgm is awesome . Hann Haan..
392,"Kept it Simple in 1st Trailer, Never mind. Will wait for another new glimpses next week. BGM is surely gonna work out crazily among Audience in Theaters sound system. Sets looks Amazing treat to watch out on Big Screen only. Chemistry seems entertaining between all leading starcast. Waiting for Diwali to watch this with Parents. "
393,I think they have shot this movie in the Maldives  and named it as ram setu PS: with reference to the last scene of Akshay
394,Amazing ️
395,#ramsetu best movie coming soon jai shree ram best cast ows one
396,"Goosebumps every moment.
Great BGM
great dialogues
Kudos to the team of Ram Setu 
Jai Shree Ram "
397,That background :ramram ramram gives goosebumps 
398,Awesome ️
399,Jai shree ram ️️️
400,"Far better than Adipurush 
Btw waiting for it"
401,"Its True, movie will be blockbuster"
402,"Duniya m ram k bahot mandir h, pr ram setu sirf ek .. dialogue.... goosebumps only "
403,"Finally, seems to be a good concept!"
404,Hollywood Level 
405,Super Jai Sri Ram 
406,Very happy to see Satyadev 
407,This will save Bollywood
408,Last Shot Pure Goosebumps...Mark My Words Theatres Will Turn Into Stadium At Last Shot...This Will Be A Blockbuster...Waiting For This One️️‍️‍
409,"Background music 
Finally no remake storyline, no remake song... original content ️
Jai Shree Ram"
410,Fabulous 
411,"जय श्री राम
 राम नाम अनमोल है️"
412,This will be an epic blockbuster 
413,mere khyaal main ek aadmi hai.. that's how all Akshay Kumar's movies start nowadays!
414,Last scene= goosebumps moment ️ Jai Shri Ram
415,"Now this one actually looks promising.
Hoping it doesn't turns out like Bhramastra"
416,"Extend your support to 🇮🇳 BHARAT JODO YATRA🇮🇳...
Its time unite against hate..."
417,Awesome 
418,"
राम जिनका नाम है, 
अयोध्या जिनका धामहै।
ऐसे रघुनंदन को, 
हमारा शत शत प्रणाम है...जय श्री राम
"
419,Jai Shree Ram 
420,Now Akshay Kumar is  in his original form it will be blockbuster 
421,"One of the best thing about dude is that he never takes credit for himself when he achieved something. He always respect us the audience and his team and he is polite in all his videos we congratulate ourselves on this achievement. More to come"""
422,It’s not true that all Bollywood movies are bad or should be boycotted. People support good movies and I personally believe this movie is gonna be a blockbuster
423,Jai shree Ram ️️️
